Comune,Popolazione_totale,SI_mean_km,SP_mean_km,SS_mean_km,SI_mean_min,SP_mean_min,SS_mean_min,SI_St.Dv_km,SP_St.Dv_km,SS_St.Dv_km,SI_St.Dv_min,SP_St.Dv_min,SS_St.Dv_min
ACCUMOLI,369.0,4.913219512195122,4.913219512195122,14.299333333333337,7.364995483288166,7.364995483288166,17.643360433604336,4.768208919500068,4.768208919500068,3.863248654522081,6.405264038851748,6.405264038851748,5.097948025830989
ACQUAFONDATA,249.0,5.072522088353414,5.448522088353414,10.201437751004017,8.566532797858098,9.149866131191432,17.29825970548862,2.240821389580169,2.240821389580169,2.7605448737522815,3.759451053308478,3.759451053308477,4.855466564147627
ACQUAPENDENTE,4502.0,2.0065197689915593,1.7155219902265662,2.2615197689915596,4.685776691840663,3.03266326077299,5.408388864208501,6.573614353357418,6.888246850009564,6.573614353357418,7.557831050320267,8.427703160147226,7.6860925390290795
ACUTO,1766.0,0.8775583238958098,0.8775583238958098,0.8775583238958098,2.433484333710834,2.433484333710834,2.433484333710834,1.7239957463211253,1.7239957463211253,1.7239957463211253,2.567983067903104,2.567983067903104,2.567983067903104
AFFILE,1325.0,0.29247320754716977,0.5214475471698113,0.5214475471698113,0.7653207547169811,1.4558867924528303,1.4558867924528303,5.804639566760368,1.4538115421195414,1.4538115421195414,8.320289791961708,2.4277332820738136,2.4277332820738136
AGOSTA,1588.0,2.3665321158690173,2.3665321158690173,2.3441977329974812,5.197533585222502,5.197533585222502,5.173793031066331,1.2034202646346508,1.2034202646346508,1.2031943594725945,1.0171105588326612,1.0171105588326612,0.9930312739844157
ALATRI,23292.0,5.413530520731965,5.470999036388269,4.943699875493731,9.014928031242645,9.05518990783674,9.031687560822029,2.083599376663821,1.862579309407532,3.1395622524334126,2.6951155548887717,2.3129752161193013,4.05582367563368
ALBANO LAZIALE,38363.0,4.541615419371095,4.50707140734562,4.580386970084021,9.692403777366504,9.651213408753225,10.531882861669375,0.5798324675940376,0.6719456355560747,0.9665695835896324,0.9197528015990951,1.1715377901078536,1.0928892745792218
ALLUMIERE,3642.0,0.7115906095551894,0.9477948929159803,1.1831548599670512,2.3484074684239427,3.264744645799012,3.3197556287753986,1.1561195872400052,0.7191275964667189,1.039446968344225,1.7913371790059203,0.18856180831641264,0.7188918942063233
ALVITO,979.0,1.15070480081716,1.3102145045965268,1.0511828396322778,2.1424582907728973,2.802791964589717,1.8575417092271023,1.9539895598492847,1.9049138213228094,2.0610852157702424,2.3034856839790208,2.087972612279584,2.6468989542621517
AMASENO,2299.0,0.6708094823836451,0.955619399739017,0.6060578512396695,2.212534435261708,2.3057633753806006,1.9605118167319127,0.28349603171825893,0.8001538914483889,0.35949443667461656,0.3278366237195775,2.214195573348713,0.4866742769572394
AMATRICE,1806.0,3.9016345514950164,3.9392070874861576,3.9392070874861576,6.329401993355482,6.50296234772979,6.50296234772979,2.843038561270242,3.046739496243651,3.046739496243651,3.5607902287469977,3.7936954412082318,3.7936954412082318
ANAGNI,14668.0,3.9205286610308154,3.9287039405508595,2.7204194845923095,6.70955935824016,6.73108171984365,5.211577356603946,2.1421140056854693,2.1366486732695704,2.139296829278416,2.850180693027371,2.810100633900781,3.0102376441510414
ANGUILLARA SABAZIA,17530.0,3.411358490207263,3.3472051720859484,3.253728123217342,6.789436204601636,6.369140204094569,5.827226659060657,3.2572367783603067,3.206731192571985,3.323471118082309,3.3562180762776883,3.2668995141365715,3.4648829910134262
ANTICOLI CORRADO,794.0,6.671,0.375,0.375,14.316666666666666,1.2333333333333334,1.2333333333333334,,,,,,
ANTRODOCO,2289.0,0.5958818261249454,0.812003494975972,0.3097291393621669,1.499537643803699,2.1308213193534296,0.7434469200524246,4.435944213186184,4.262819802274859,4.6149410523501455,4.465707815822292,4.090107759152744,4.933126872556668
AQUINO,3586.0,0.6289141104294479,0.8066302286670386,0.5899325153374233,1.2347137014314928,1.754108570366239,0.9146635062279235,2.3110671488874286,2.654543331723933,2.8361504661541965,2.974257221310644,3.087713105555991,3.8012132566092927
ARCE,3260.0,5.451215337423312,2.6617690184049088,2.6617690184049088,7.256605316973415,4.322878323108385,4.322878323108385,0.7053885580707578,1.9942986277093802,1.9942986277093802,0.807461956221351,2.3849228798552673,2.3849228798552673
